Timecode List:,00:00:15.724,00:00:29.154,00:00:55.013,00:01:50.360,00:02:28.523,00:03:01.932,00:04:13.128,00:04:17.007,00:05:27.661,00:05:49.015,00:06:54.164,00:08:13.493,00:08:21.042,00:09:13.261,00:09:34.699,00:09:46.086,00:09:48.546,00:09:52.842,00:10:06.147,00:10:29.921,00:10:47.814,00:12:26.621,00:12:44.639,00:12:58.319,00:13:22.176,00:13:57.128,00:14:00.256,00:14:50.681,00:14:53.726,00:14:57.105,00:15:14.872,00:15:31.097,00:15:36.352,00:16:52.094,00:17:04.482,00:17:16.535,00:17:47.858,00:17:49.110,00:17:49.986,00:17:53.739,00:17:54.699,00:18:08.796,00:18:30.484,00:18:40.703,00:18:42.371,00:18:49.211,00:18:51.839,00:19:03.309,00:19:11.108,00:19:31.379,00:20:06.038,00:20:59.800,00:21:44.887,00:21:48.599,00:22:11.205,00:23:36.165,00:23:51.764,00:23:58.103,00:25:19.059,00:25:30.904,00:25:33.574,00:25:36.243,00:25:50.841,00:25:58.348,00:26:01.769,00:26:29.963,00:26:40.599,00:26:58.492,00:27:23.851,00:27:31.483,00:27:33.443,00:27:47.207,00:27:53.547,00:28:27.080,00:29:33.480,00:29:58.839,00:30:25.449,00:30:31.788,00:30:32.998,00:30:34.166,00:30:51.224,00:31:28.095,00:31:37.020,00:31:38.355,00:31:48.573,00:32:25.944,00:32:45.630,00:33:02.856,00:33:13.200,00:33:16.453,00:33:29.174,00:33:35.555,00:33:52.280,00:34:26.523,00:36:14.172,00:36:50.709,00:37:28.246,00:37:47.015,00:38:01.905,00:38:30.767,00:39:53.558,00:40:52.367,00:41:06.673,00:41:32.115,00:41:47.547,00:41:50.967,00:41:58.391,00:42:22.290,00:42:24.625,00:42:25.293,00:42:26.419,00:42:56.157,00:42:59.660,00:43:06.209,00:43:12.298,00:43:26.521,00:43:34.403,00:44:09.647,00:45:01.073,00:45:09.624,00:45:26.432,00:45:32.104,00:45:51.582,00:46:10.935,00:46:17.483,00:46:27.159,00:46:40.172,00:46:54.979,00:47:00.067,00:48:18.145,00:48:28.864,00:48:50.803,00:48:58.477,00:49:19.790,00:49:21.208,00:49:23.919,00:49:32.386,00:49:41.979,00:49:52.364,00:50:10.925,00:50:26.315,00:50:35.908,00:51:05.271,00:52:29.688,00:52:31.565,00:52:36.445,00:52:38.197,00:53:24.576,00:53:34.420,00:53:42.845,00:53:49.143,00:54:10.122,00:54:17.379,00:54:33.562,00:54:41.153,00:54:45.699,00:55:06.845,00:55:10.098,00:55:14.645,00:55:16.188,00:55:19.775,00:55:22.444,00:55:26.406,00:55:38.085,00:55:56.645,00:55:57.229,00:55:58.730,00:56:00.315,00:56:01.525,00:56:02.734,00:56:09.324,00:56:11.493,00:56:14.371,00:56:17.624,00:56:22.588,00:56:25.382,00:56:49.281,00:56:51.450,00:56:54.036,00:57:33.367,00:57:40.666,00:57:41.458,00:57:42.626,00:57:50.425,00:57:57.224,00:58:06.108,00:58:11.321,00:58:14.199,00:58:49.526,00:58:53.613,00:59:53.256,01:00:03.350,01:00:06.019,01:00:37.133,01:00:45.475,01:00:48.812,01:01:06.663,01:01:47.037,01:02:04.554,01:02:17.108,01:02:35.543,01:02:50.308,01:02:55.647,01:03:03.196,01:03:27.345,01:03:34.311,01:03:47.407,01:04:03.882,01:04:27.530,01:05:05.527,01:05:13.284,01:05:27.048,01:05:31.594,01:05:57.745,01:05:59.372,01:06:02.459,01:06:09.632,01:06:14.721,01:06:18.183,01:06:31.863,01:06:40.663,01:07:11.903,01:07:15.073,01:07:16.115,01:07:28.795,01:07:59.284,01:08:07.917,01:08:24.017,01:08:24.600,01:08:34.110,01:08:52.128,01:08:53.504,01:08:54.589,01:08:55.673,01:08:57.175,01:08:58.092,01:09:00.887,01:09:04.515,01:09:19.864,01:09:34.212,01:09:49.227,01:09:50.520,01:09:55.066,01:10:05.952,01:10:35.481,01:10:48.911,01:10:50.997,01:11:21.402,01:11:27.950,01:11:28.701,01:11:29.744,01:11:31.704,01:11:46.052,01:12:06.364,01:12:15.706,01:12:24.131,01:12:39.313,01:12:49.574,01:13:11.887,01:13:13.806,01:13:14.473,01:13:49.383,01:13:56.641,01:14:03.189,01:14:05.983,01:14:07.944,01:14:15.326,01:14:25.836,01:14:49.151,01:14:52.488,01:14:54.824,01:14:55.783,01:14:56.450,01:15:20.766,01:15:32.987,01:16:10.983,01:16:35.591,01:16:49.355,01:16:57.196,01:16:59.114,01:17:25.224,01:17:57.172,01:18:01.552,01:18:07.266,01:18:09.185,01:18:12.188,01:18:13.147,01:18:26.118,01:18:34.752,01:18:37.755,01:18:40.174,01:18:41.550,01:18:43.427,01:19:01.904,01:19:10.287,01:19:18.671,01:19:19.296,01:19:23.467,01:19:27.096,01:19:29.098,01:19:31.392,01:19:33.727,01:19:35.562,01:19:36.730,01:19:40.985,01:20:17.646,01:20:26.363,01:20:29.241,01:21:00.981,01:21:05.319,01:21:18.957,01:24:36.405,01:25:18.530,01:25:19.573,01:25:31.460,01:30:13.658,01:31:40.495,01:31:42.747,01:32:27.292,01:32:38.386,01:32:47.103,01:32:59.365,01:33:17.759,01:33:45.578,01:34:03.680,01:34:07.684,01:34:23.616,01:34:30.874,01:34:44.929,01:34:58.067,01:35:06.242,01:35:08.786,01:35:17.754,01:35:20.173,01:35:21.216,01:35:24.010,01:35:27.931,01:35:30.225,01:35:37.190,01:35:58.795,01:36:08.221,01:36:25.613,01:36:36.874,01:37:26.382,01:37:27.008,01:37:47.695,01:38:11.928,01:38:18.559,01:38:23.231,01:38:24.023,01:38:30.071,01:38:40.581,01:38:41.374,01:40:39.533,01:41:48.936,01:43:34.875,01:44:26.802,01:44:32.558,01:44:35.186,01:45:25.110,01:46:00.396,01:46:09.530,01:46:16.328,01:46:27.423,01:47:27.983,01:47:34.406,01:47:56.887,01:48:15.739,01:48:42.016,01:48:57.448,01:49:22.806,01:49:26.894,01:50:02.221,01:51:53.707,01:52:12.142,01:53:09.032,01:53:16.873,01:53:48.822,01:53:55.620,01:54:53.220,01:55:11.029,01:56:27.189,01:56:31.026,01:56:35.655,01:56:44.998,01:56:55.967,01:57:33.255,01:57:52.691,01:58:39.237,01:58:55.795,01:58:59.883,01:59:03.386,01:59:26.117,02:00:08.451,02:00:45.029,02:00:47.991,02:01:02.338,02:01:26.404,02:02:03.441,02:02:32.470,02:02:35.014,02:04:53.903,02:06:26.537,02:06:33.711,02:06:43.513,02:06:50.520,02:07:02.406,02:07:13.042,02:07:17.547
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
154,78100,00:54:17.379,3257.379,78487,00:54:33.562,3273.562,388,00:00:16.183,16.183
155,78488,00:54:33.562,3273.562,78669,00:54:41.153,3281.153,182,00:00:07.591,7.591
156,78670,00:54:41.153,3281.153,78778,00:54:45.699,3285.699,109,00:00:04.546,4.546
157,78779,00:54:45.699,3285.699,79285,00:55:06.845,3306.845,507,00:00:21.146,21.146
158,79286,00:55:06.845,3306.845,79363,00:55:10.098,3310.098,78,00:00:03.253,3.253
159,79364,00:55:10.098,3310.098,79472,00:55:14.645,3314.645,109,00:00:04.546,4.546
160,79473,00:55:14.645,3314.645,79509,00:55:16.188,3316.188,37,00:00:01.543,1.543
161,79510,00:55:16.188,3316.188,79595,00:55:19.775,3319.775,86,00:00:03.587,3.587
162,79596,00:55:19.775,3319.775,79659,00:55:22.444,3322.444,64,00:00:02.669,2.669
163,79660,00:55:22.444,3322.444,79754,00:55:26.406,3326.406,95,00:00:03.962,3.962
164,79755,00:55:26.406,3326.406,80034,00:55:38.085,3338.085,280,00:00:11.678,11.678
165,80035,00:55:38.085,3338.085,80479,00:55:56.645,3356.645,445,00:00:18.560,18.560
166,80480,00:55:56.645,3356.645,80493,00:55:57.229,3357.229,14,00:00:00.584,0.584
167,80494,00:55:57.229,3357.229,80529,00:55:58.730,3358.730,36,00:00:01.502,1.502
168,80530,00:55:58.730,3358.730,80567,00:56:00.315,3360.315,38,00:00:01.585,1.585
169,80568,00:56:00.315,3360.315,80596,00:56:01.525,3361.525,29,00:00:01.210,1.210
170,80597,00:56:01.525,3361.525,80625,00:56:02.734,3362.734,29,00:00:01.210,1.210
171,80626,00:56:02.734,3362.734,80783,00:56:09.324,3369.324,158,00:00:06.590,6.590
172,80784,00:56:09.324,3369.324,80835,00:56:11.493,3371.493,52,00:00:02.169,2.169
173,80836,00:56:11.493,3371.493,80904,00:56:14.371,3374.371,69,00:00:02.878,2.878
174,80905,00:56:14.371,3374.371,80982,00:56:17.624,3377.624,78,00:00:03.253,3.253
175,80983,00:56:17.624,3377.624,81101,00:56:22.588,3382.588,119,00:00:04.963,4.963
176,81102,00:56:22.588,3382.588,81168,00:56:25.382,3385.382,67,00:00:02.794,2.794
177,81169,00:56:25.382,3385.382,81741,00:56:49.281,3409.281,573,00:00:23.899,23.899
178,81742,00:56:49.281,3409.281,81793,00:56:51.450,3411.450,52,00:00:02.169,2.169
179,81794,00:56:51.450,3411.450,81855,00:56:54.036,3414.036,62,00:00:02.586,2.586
180,81856,00:56:54.036,3414.036,82798,00:57:33.367,3453.367,943,00:00:39.331,39.331
181,82799,00:57:33.367,3453.367,82973,00:57:40.666,3460.666,175,00:00:07.299,7.299
182,82974,00:57:40.666,3460.666,82992,00:57:41.458,3461.458,19,00:00:00.792,0.792
183,82993,00:57:41.458,3461.458,83020,00:57:42.626,3462.626,28,00:00:01.168,1.168
184,83021,00:57:42.626,3462.626,83207,00:57:50.425,3470.425,187,00:00:07.799,7.799
185,83208,00:57:50.425,3470.425,83370,00:57:57.224,3477.224,163,00:00:06.798,6.798
186,83371,00:57:57.224,3477.224,83583,00:58:06.108,3486.108,213,00:00:08.884,8.884
187,83584,00:58:06.108,3486.108,83708,00:58:11.321,3491.321,125,00:00:05.214,5.214
188,83709,00:58:11.321,3491.321,83777,00:58:14.199,3494.199,69,00:00:02.878,2.878
189,83778,00:58:14.199,3494.199,84624,00:58:49.526,3529.526,847,00:00:35.327,35.327
190,84625,00:58:49.526,3529.526,84722,00:58:53.613,3533.613,98,00:00:04.087,4.087
191,84723,00:58:53.613,3533.613,86152,00:59:53.256,3593.256,1430,00:00:59.643,59.643
192,86153,00:59:53.256,3593.256,86394,01:00:03.350,3603.350,242,00:00:10.093,10.093
193,86395,01:00:03.350,3603.350,86458,01:00:06.019,3606.019,64,00:00:02.669,2.669
194,86459,01:00:06.019,3606.019,87204,01:00:37.133,3637.133,746,00:00:31.114,31.114
195,87205,01:00:37.133,3637.133,87404,01:00:45.475,3645.475,200,00:00:08.342,8.342
196,87405,01:00:45.475,3645.475,87484,01:00:48.812,3648.812,80,00:00:03.337,3.337
197,87485,01:00:48.812,3648.812,87912,01:01:06.663,3666.663,428,00:00:17.851,17.851
198,87913,01:01:06.663,3666.663,88880,01:01:47.037,3707.037,968,00:00:40.374,40.374
199,88881,01:01:47.037,3707.037,89300,01:02:04.554,3724.554,420,00:00:17.517,17.517
200,89301,01:02:04.554,3724.554,89601,01:02:17.108,3737.108,301,00:00:12.554,12.554
201,89602,01:02:17.108,3737.108,90043,01:02:35.543,3755.543,442,00:00:18.435,18.435
202,90044,01:02:35.543,3755.543,90397,01:02:50.308,3770.308,354,00:00:14.765,14.765
203,90398,01:02:50.308,3770.308,90525,01:02:55.647,3775.647,128,00:00:05.339,5.339
204,90526,01:02:55.647,3775.647,90706,01:03:03.196,3783.196,181,00:00:07.549,7.549
205,90707,01:03:03.196,3783.196,91285,01:03:27.345,3807.345,579,00:00:24.149,24.149
206,91286,01:03:27.345,3807.345,91452,01:03:34.311,3814.311,167,00:00:06.965,6.965
207,91453,01:03:34.311,3814.311,91766,01:03:47.407,3827.407,314,00:00:13.096,13.096
208,91767,01:03:47.407,3827.407,92161,01:04:03.882,3843.882,395,00:00:16.475,16.475
209,92162,01:04:03.882,3843.882,92728,01:04:27.530,3867.530,567,00:00:23.649,23.649
210,92729,01:04:27.530,3867.530,93639,01:05:05.527,3905.527,911,00:00:37.996,37.996
211,93640,01:05:05.527,3905.527,93825,01:05:13.284,3913.284,186,00:00:07.758,7.758
212,93826,01:05:13.284,3913.284,94155,01:05:27.048,3927.048,330,00:00:13.764,13.764
213,94156,01:05:27.048,3927.048,94264,01:05:31.594,3931.594,109,00:00:04.546,4.546
214,94265,01:05:31.594,3931.594,94891,01:05:57.745,3957.745,627,00:00:26.151,26.151
215,94892,01:05:57.745,3957.745,94930,01:05:59.372,3959.372,39,00:00:01.627,1.627
216,94931,01:05:59.372,3959.372,95004,01:06:02.459,3962.459,74,00:00:03.086,3.086
217,95005,01:06:02.459,3962.459,95176,01:06:09.632,3969.632,172,00:00:07.174,7.174
218,95177,01:06:09.632,3969.632,95298,01:06:14.721,3974.721,122,00:00:05.088,5.088
219,95299,01:06:14.721,3974.721,95381,01:06:18.183,3978.183,83,00:00:03.462,3.462
220,95382,01:06:18.183,3978.183,95709,01:06:31.863,3991.863,328,00:00:13.680,13.680
221,95710,01:06:31.863,3991.863,95920,01:06:40.663,4000.663,211,00:00:08.800,8.800
222,95921,01:06:40.663,4000.663,96669,01:07:11.903,4031.903,749,00:00:31.240,31.240
223,96670,01:07:11.903,4031.903,96745,01:07:15.073,4035.073,76,00:00:03.170,3.170
224,96746,01:07:15.073,4035.073,96770,01:07:16.115,4036.115,25,00:00:01.043,1.043
225,96771,01:07:16.115,4036.115,97074,01:07:28.795,4048.795,304,00:00:12.679,12.679
226,97075,01:07:28.795,4048.795,97805,01:07:59.284,4079.284,731,00:00:30.489,30.489
227,97806,01:07:59.284,4079.284,98012,01:08:07.917,4087.917,207,00:00:08.634,8.634
228,98013,01:08:07.917,4087.917,98398,01:08:24.017,4104.017,386,00:00:16.099,16.099
229,98399,01:08:24.017,4104.017,98412,01:08:24.600,4104.600,14,00:00:00.584,0.584
230,98413,01:08:24.600,4104.600,98640,01:08:34.110,4114.110,228,00:00:09.509,9.509
231,98641,01:08:34.110,4114.110,99072,01:08:52.128,4132.128,432,00:00:18.018,18.018
232,99073,01:08:52.128,4132.128,99105,01:08:53.504,4133.504,33,00:00:01.376,1.376
233,99106,01:08:53.504,4133.504,99131,01:08:54.589,4134.589,26,00:00:01.084,1.084
234,99132,01:08:54.589,4134.589,99157,01:08:55.673,4135.673,26,00:00:01.084,1.084
235,99158,01:08:55.673,4135.673,99193,01:08:57.175,4137.175,36,00:00:01.502,1.502
236,99194,01:08:57.175,4137.175,99215,01:08:58.092,4138.092,22,00:00:00.918,0.918
237,99216,01:08:58.092,4138.092,99282,01:09:00.887,4140.887,67,00:00:02.794,2.794
238,99283,01:09:00.887,4140.887,99369,01:09:04.515,4144.515,87,00:00:03.629,3.629
239,99370,01:09:04.515,4144.515,99737,01:09:19.864,4159.864,368,00:00:15.349,15.349
240,99738,01:09:19.864,4159.864,100081,01:09:34.212,4174.212,344,00:00:14.348,14.348
241,100082,01:09:34.212,4174.212,100441,01:09:49.227,4189.227,360,00:00:15.015,15.015
242,100442,01:09:49.227,4189.227,100472,01:09:50.520,4190.520,31,00:00:01.293,1.293
243,100473,01:09:50.520,4190.520,100581,01:09:55.066,4195.066,109,00:00:04.546,4.546
244,100582,01:09:55.066,4195.066,100842,01:10:05.952,4205.952,261,00:00:10.886,10.886
245,100843,01:10:05.952,4205.952,101550,01:10:35.481,4235.481,708,00:00:29.529,29.529
246,101551,01:10:35.481,4235.481,101872,01:10:48.911,4248.911,322,00:00:13.430,13.430
247,101873,01:10:48.911,4248.911,101922,01:10:50.997,4250.997,50,00:00:02.085,2.085
248,101923,01:10:50.997,4250.997,102651,01:11:21.402,4281.402,729,00:00:30.405,30.405
249,102652,01:11:21.402,4281.402,102808,01:11:27.950,4287.950,157,00:00:06.548,6.548
250,102809,01:11:27.950,4287.950,102826,01:11:28.701,4288.701,18,00:00:00.751,0.751
251,102827,01:11:28.701,4288.701,102851,01:11:29.744,4289.744,25,00:00:01.043,1.043
252,102852,01:11:29.744,4289.744,102898,01:11:31.704,4291.704,47,00:00:01.960,1.960
253,102899,01:11:31.704,4291.704,103242,01:11:46.052,4306.052,344,00:00:14.348,14.348
254,103243,01:11:46.052,4306.052,103729,01:12:06.364,4326.364,487,00:00:20.312,20.312
255,103730,01:12:06.364,4326.364,103953,01:12:15.706,4335.706,224,00:00:09.343,9.343
256,103954,01:12:15.706,4335.706,104155,01:12:24.131,4344.131,202,00:00:08.425,8.425
257,104156,01:12:24.131,4344.131,104519,01:12:39.313,4359.313,364,00:00:15.182,15.182
258,104520,01:12:39.313,4359.313,104765,01:12:49.574,4369.574,246,00:00:10.260,10.260
259,104766,01:12:49.574,4369.574,105300,01:13:11.887,4391.887,535,00:00:22.314,22.314
260,105301,01:13:11.887,4391.887,105346,01:13:13.806,4393.806,46,00:00:01.919,1.919
261,105347,01:13:13.806,4393.806,105362,01:13:14.473,4394.473,16,00:00:00.667,0.667
262,105363,01:13:14.473,4394.473,106199,01:13:49.383,4429.383,837,00:00:34.910,34.910
263,106200,01:13:49.383,4429.383,106373,01:13:56.641,4436.641,174,00:00:07.257,7.257
264,106374,01:13:56.641,4436.641,106530,01:14:03.189,4443.189,157,00:00:06.548,6.548
265,106531,01:14:03.189,4443.189,106597,01:14:05.983,4445.983,67,00:00:02.794,2.794
266,106598,01:14:05.983,4445.983,106644,01:14:07.944,4447.944,47,00:00:01.960,1.960
267,106645,01:14:07.944,4447.944,106821,01:14:15.326,4455.326,177,00:00:07.382,7.382
268,106822,01:14:15.326,4455.326,107073,01:14:25.836,4465.836,252,00:00:10.511,10.511
269,107074,01:14:25.836,4465.836,107632,01:14:49.151,4489.151,559,00:00:23.315,23.315
270,107633,01:14:49.151,4489.151,107712,01:14:52.488,4492.488,80,00:00:03.337,3.337
271,107713,01:14:52.488,4492.488,107768,01:14:54.824,4494.824,56,00:00:02.336,2.336
272,107769,01:14:54.824,4494.824,107791,01:14:55.783,4495.783,23,00:00:00.959,0.959
273,107792,01:14:55.783,4495.783,107807,01:14:56.450,4496.450,16,00:00:00.667,0.667
274,107808,01:14:56.450,4496.450,108390,01:15:20.766,4520.766,583,00:00:24.316,24.316
275,108391,01:15:20.766,4520.766,108683,01:15:32.987,4532.987,293,00:00:12.221,12.221
276,108684,01:15:32.987,4532.987,109594,01:16:10.983,4570.983,911,00:00:37.996,37.996
277,109595,01:16:10.983,4570.983,110184,01:16:35.591,4595.591,590,00:00:24.608,24.608
278,110185,01:16:35.591,4595.591,110514,01:16:49.355,4609.355,330,00:00:13.764,13.764
279,110515,01:16:49.355,4609.355,110702,01:16:57.196,4617.196,188,00:00:07.841,7.841
280,110703,01:16:57.196,4617.196,110748,01:16:59.114,4619.114,46,00:00:01.919,1.919
281,110749,01:16:59.114,4619.114,111374,01:17:25.224,4645.224,626,00:00:26.109,26.109
282,111375,01:17:25.224,4645.224,112140,01:17:57.172,4677.172,766,00:00:31.949,31.949
283,112141,01:17:57.172,4677.172,112245,01:18:01.552,4681.552,105,00:00:04.379,4.379
284,112246,01:18:01.552,4681.552,112382,01:18:07.266,4687.266,137,00:00:05.714,5.714
285,112383,01:18:07.266,4687.266,112428,01:18:09.185,4689.185,46,00:00:01.919,1.919
286,112429,01:18:09.185,4689.185,112500,01:18:12.188,4692.188,72,00:00:03.003,3.003
287,112501,01:18:12.188,4692.188,112523,01:18:13.147,4693.147,23,00:00:00.959,0.959
288,112524,01:18:13.147,4693.147,112834,01:18:26.118,4706.118,311,00:00:12.971,12.971
289,112835,01:18:26.118,4706.118,113041,01:18:34.752,4714.752,207,00:00:08.634,8.634
290,113042,01:18:34.752,4714.752,113113,01:18:37.755,4717.755,72,00:00:03.003,3.003
291,113114,01:18:37.755,4717.755,113171,01:18:40.174,4720.174,58,00:00:02.419,2.419
292,113172,01:18:40.174,4720.174,113204,01:18:41.550,4721.550,33,00:00:01.376,1.376
293,113205,01:18:41.550,4721.550,113249,01:18:43.427,4723.427,45,00:00:01.877,1.877
294,113250,01:18:43.427,4723.427,113692,01:19:01.904,4741.904,443,00:00:18.477,18.477
295,113693,01:19:01.904,4741.904,113893,01:19:10.287,4750.287,201,00:00:08.383,8.383
296,113894,01:19:10.287,4750.287,114094,01:19:18.671,4758.671,201,00:00:08.383,8.383
297,114095,01:19:18.671,4758.671,114109,01:19:19.296,4759.296,15,00:00:00.626,0.626
298,114110,01:19:19.296,4759.296,114209,01:19:23.467,4763.467,100,00:00:04.171,4.171
299,114210,01:19:23.467,4763.467,114296,01:19:27.096,4767.096,87,00:00:03.629,3.629
300,114297,01:19:27.096,4767.096,114344,01:19:29.098,4769.098,48,00:00:02.002,2.002
301,114345,01:19:29.098,4769.098,114399,01:19:31.392,4771.392,55,00:00:02.294,2.294
302,114400,01:19:31.392,4771.392,114455,01:19:33.727,4773.727,56,00:00:02.336,2.336
303,114456,01:19:33.727,4773.727,114499,01:19:35.562,4775.562,44,00:00:01.835,1.835
304,114500,01:19:35.562,4775.562,114527,01:19:36.730,4776.730,28,00:00:01.168,1.168
305,114528,01:19:36.730,4776.730,114629,01:19:40.985,4780.985,102,00:00:04.254,4.254
306,114630,01:19:40.985,4780.985,115508,01:20:17.646,4817.646,879,00:00:36.662,36.662
307,115509,01:20:17.646,4817.646,115717,01:20:26.363,4826.363,209,00:00:08.717,8.717
308,115718,01:20:26.363,4826.363,115786,01:20:29.241,4829.241,69,00:00:02.878,2.878
309,115787,01:20:29.241,4829.241,116547,01:21:00.981,4860.981,761,00:00:31.740,31.740
310,116548,01:21:00.981,4860.981,116651,01:21:05.319,4865.319,104,00:00:04.338,4.338
311,116652,01:21:05.319,4865.319,116978,01:21:18.957,4878.957,327,00:00:13.639,13.639
312,116979,01:21:18.957,4878.957,121712,01:24:36.405,5076.405,4734,00:03:17.447,197.447
313,121713,01:24:36.405,5076.405,122722,01:25:18.530,5118.530,1010,00:00:42.125,42.125
314,122723,01:25:18.530,5118.530,122747,01:25:19.573,5119.573,25,00:00:01.043,1.043
315,122748,01:25:19.573,5119.573,123032,01:25:31.460,5131.460,285,00:00:11.887,11.887
316,123033,01:25:31.460,5131.460,129798,01:30:13.658,5413.658,6766,00:04:42.199,282.199
317,129799,01:30:13.658,5413.658,131880,01:31:40.495,5500.495,2082,00:01:26.837,86.837
318,131881,01:31:40.495,5500.495,131934,01:31:42.747,5502.747,54,00:00:02.252,2.252
319,131935,01:31:42.747,5502.747,133002,01:32:27.292,5547.292,1068,00:00:44.544,44.544
320,133003,01:32:27.292,5547.292,133268,01:32:38.386,5558.386,266,00:00:11.094,11.094
321,133269,01:32:38.386,5558.386,133477,01:32:47.103,5567.103,209,00:00:08.717,8.717
322,133478,01:32:47.103,5567.103,133771,01:32:59.365,5579.365,294,00:00:12.262,12.262
323,133772,01:32:59.365,5579.365,134212,01:33:17.759,5597.759,441,00:00:18.393,18.393
324,134213,01:33:17.759,5597.759,134879,01:33:45.578,5625.578,667,00:00:27.819,27.819
325,134880,01:33:45.578,5625.578,135313,01:34:03.680,5643.680,434,00:00:18.101,18.101
326,135314,01:34:03.680,5643.680,135409,01:34:07.684,5647.684,96,00:00:04.004,4.004
327,135410,01:34:07.684,5647.684,135791,01:34:23.616,5663.616,382,00:00:15.933,15.933
328,135792,01:34:23.616,5663.616,135965,01:34:30.874,5670.874,174,00:00:07.257,7.257
329,135966,01:34:30.874,5670.874,136302,01:34:44.929,5684.929,337,00:00:14.056,14.056
330,136303,01:34:44.929,5684.929,136617,01:34:58.067,5698.067,315,00:00:13.138,13.138
331,136618,01:34:58.067,5698.067,136813,01:35:06.242,5706.242,196,00:00:08.175,8.175
332,136814,01:35:06.242,5706.242,136874,01:35:08.786,5708.786,61,00:00:02.544,2.544
333,136875,01:35:08.786,5708.786,137089,01:35:17.754,5717.754,215,00:00:08.967,8.967
334,137090,01:35:17.754,5717.754,137147,01:35:20.173,5720.173,58,00:00:02.419,2.419
335,137148,01:35:20.173,5720.173,137172,01:35:21.216,5721.216,25,00:00:01.043,1.043
336,137173,01:35:21.216,5721.216,137239,01:35:24.010,5724.010,67,00:00:02.794,2.794
337,137240,01:35:24.010,5724.010,137333,01:35:27.931,5727.931,94,00:00:03.921,3.921
338,137334,01:35:27.931,5727.931,137388,01:35:30.225,5730.225,55,00:00:02.294,2.294
339,137389,01:35:30.225,5730.225,137555,01:35:37.190,5737.190,167,00:00:06.965,6.965
340,137556,01:35:37.190,5737.190,138073,01:35:58.795,5758.795,518,00:00:21.605,21.605
341,138074,01:35:58.795,5758.795,138299,01:36:08.221,5768.221,226,00:00:09.426,9.426
342,138300,01:36:08.221,5768.221,138716,01:36:25.613,5785.613,417,00:00:17.392,17.392
343,138717,01:36:25.613,5785.613,138986,01:36:36.874,5796.874,270,00:00:11.261,11.261
344,138987,01:36:36.874,5796.874,140173,01:37:26.382,5846.382,1187,00:00:49.508,49.508
345,140174,01:37:26.382,5846.382,140188,01:37:27.008,5847.008,15,00:00:00.626,0.626
346,140189,01:37:27.008,5847.008,140684,01:37:47.695,5867.695,496,00:00:20.687,20.687
347,140685,01:37:47.695,5867.695,141265,01:38:11.928,5891.928,581,00:00:24.233,24.233
348,141266,01:38:11.928,5891.928,141424,01:38:18.559,5898.559,159,00:00:06.632,6.632
349,141425,01:38:18.559,5898.559,141536,01:38:23.231,5903.231,112,00:00:04.671,4.671
350,141537,01:38:23.231,5903.231,141555,01:38:24.023,5904.023,19,00:00:00.792,0.792
351,141556,01:38:24.023,5904.023,141700,01:38:30.071,5910.071,145,00:00:06.048,6.048
352,141701,01:38:30.071,5910.071,141952,01:38:40.581,5920.581,252,00:00:10.511,10.511
353,141953,01:38:40.581,5920.581,141971,01:38:41.374,5921.374,19,00:00:00.792,0.792
354,141972,01:38:41.374,5921.374,144804,01:40:39.533,6039.533,2833,00:01:58.160,118.160
355,144805,01:40:39.533,6039.533,146468,01:41:48.936,6108.936,1664,00:01:09.403,69.403
356,146469,01:41:48.936,6108.936,149008,01:43:34.875,6214.875,2540,00:01:45.939,105.939
357,149009,01:43:34.875,6214.875,150253,01:44:26.802,6266.802,1245,00:00:51.927,51.927
358,150254,01:44:26.802,6266.802,150391,01:44:32.558,6272.558,138,00:00:05.756,5.756
359,150392,01:44:32.558,6272.558,150454,01:44:35.186,6275.186,63,00:00:02.628,2.628
360,150455,01:44:35.186,6275.186,151651,01:45:25.110,6325.110,1197,00:00:49.925,49.925
361,151652,01:45:25.110,6325.110,152497,01:46:00.396,6360.396,846,00:00:35.285,35.285
362,152498,01:46:00.396,6360.396,152716,01:46:09.530,6369.530,219,00:00:09.134,9.134
363,152717,01:46:09.530,6369.530,152879,01:46:16.328,6376.328,163,00:00:06.798,6.798
364,152880,01:46:16.328,6376.328,153145,01:46:27.423,6387.423,266,00:00:11.094,11.094
365,153146,01:46:27.423,6387.423,154597,01:47:27.983,6447.983,1452,00:01:00.560,60.560
366,154598,01:47:27.983,6447.983,154751,01:47:34.406,6454.406,154,00:00:06.423,6.423
367,154752,01:47:34.406,6454.406,155290,01:47:56.887,6476.887,539,00:00:22.481,22.481
368,155291,01:47:56.887,6476.887,155742,01:48:15.739,6495.739,452,00:00:18.852,18.852
369,155743,01:48:15.739,6495.739,156372,01:48:42.016,6522.016,630,00:00:26.276,26.276
370,156373,01:48:42.016,6522.016,156742,01:48:57.448,6537.448,370,00:00:15.432,15.432
371,156743,01:48:57.448,6537.448,157350,01:49:22.806,6562.806,608,00:00:25.359,25.359
372,157351,01:49:22.806,6562.806,157448,01:49:26.894,6566.894,98,00:00:04.087,4.087
373,157449,01:49:26.894,6566.894,158295,01:50:02.221,6602.221,847,00:00:35.327,35.327
374,158296,01:50:02.221,6602.221,160968,01:51:53.707,6713.707,2673,00:01:51.486,111.486
